Source,Target,cash,material,help
BDSU028,BDSU028,0,0,1
BDSU028,BDSU028,0,0,1
BDSU028,BDSU028,0,0,1
BDSU017,BDSU029,0,0,1
BDSU026,BDSU029,0,0,1
BDSU055,BDSU029,0,0,1
BDSU029,BDSU031,0,0,1
BDSU031,BDSU031,0,0,1
BDSU034,BDSU031,0,0,1
BDSU055,BDSU031,0,0,1
BDSU032,BDSU032,0,0,1
BDSU033,BDSU033,0,0,1
BDSU033,BDSU033,0,0,1
BDSU073,BDSU033,0,0,1
BDSU031,BDSU034,0,0,1
BDSU031,BDSU034,0,0,1
BDSU032,BDSU035,0,0,1
BDSU062,BDSU035,0,0,1
BDSU010,BDSU036,0,0,1
BDSU016,BDSU036,0,0,1
BDSU018,BDSU036,0,0,1
BDSU036,BDSU036,0,0,1
BDSU036,BDSU036,0,0,1
BDSU017,BDSU037,0,0,1
BDSU037,BDSU037,0,0,1
BDSU050,BDSU037,0,0,1
BDSU050,BDSU037,0,0,1
BDSU038,BDSU038,0,0,1
BDSU038,BDSU038,0,0,1
BDSU038,BDSU038,0,0,1
BDSU001,BDSU039,0,0,1
BDSU038,BDSU039,0,0,1
BDSU040,BDSU040,0,0,1
BDSU012,BDSU041,0,0,1
BDSU038,BDSU041,0,0,1
BDSU042,BDSU042,0,0,1
BDSU042,BDSU042,0,0,1
BDSU010,BDSU043,0,0,1
BDSU011,BDSU044,0,0,1
BDSU005,BDSU045,0,0,1
BDSU025,BDSU045,0,0,1
BDSU042,BDSU045,0,0,1
BDSU046,BDSU046,0,0,1
BDSU047,BDSU046,0,0,1
BDSU047,BDSU047,0,0,1
BDSU047,BDSU047,0,0,1
BDSU001,BDSU048,0,0,1
BDSU042,BDSU048,0,0,1
BDSU048,BDSU048,0,0,1
BDSU048,BDSU048,0,0,1
BDSU001,BDSU049,0,0,1
BDSU001,BDSU049,0,0,1
BDSU001,BDSU049,0,0,1
BDSU013,BDSU050,0,0,1
BDSU036,BDSU050,0,0,1
BDSU036,BDSU050,0,0,1
BDSU050,BDSU050,0,0,1
BDSU050,BDSU050,0,0,1
BDSU050,BDSU050,0,0,1
BDSU016,BDSU051,0,0,1
BDSU052,BDSU052,0,0,1
BDSU049,BDSU053,0,0,1
BDSU071,BDSU053,0,0,1
BDSU056,BDSU055,0,0,1
BDSU057,BDSU055,0,0,1
BDSU005,BDSU056,0,0,1
BDSU011,BDSU056,0,0,1
BDSU028,BDSU056,0,0,1
BDSU017,BDSU057,0,0,1
BDSU055,BDSU057,0,0,1
BDSU076,BDSU057,0,0,1
BDSU058,BDSU058,0,0,1
BDSU058,BDSU058,0,0,1
BDSU025,BDSU059,0,0,1
BDSU055,BDSU060,0,0,1
BDSU057,BDSU060,0,0,1
BDSU060,BDSU060,0,0,1
BDSU060,BDSU060,0,0,1
BDSU076,BDSU061,0,0,1
BDSU064,BDSU062,0,0,1
BDSU064,BDSU062,0,0,1
BDSU071,BDSU062,0,0,1
BDSU076,BDSU062,0,0,1
BDSU079,BDSU062,0,0,1
BDSU066,BDSU063,0,0,1
BDSU068,BDSU063,0,0,1
BDSU068,BDSU063,0,0,1
BDSU077,BDSU063,0,0,1
BDSU062,BDSU064,0,0,1
BDSU064,BDSU064,0,0,1
BDSU059,BDSU065,0,0,1
BDSU059,BDSU065,0,0,1
BDSU066,BDSU065,0,0,1
BDSU066,BDSU065,0,0,1
BDSU077,BDSU065,0,0,1
BDSU004,BDSU066,0,0,1
BDSU065,BDSU066,0,0,1
BDSU065,BDSU066,0,0,1
BDSU068,BDSU066,0,0,1
BDSU077,BDSU066,0,0,1
BDSU054,BDSU067,0,0,1
BDSU079,BDSU067,0,0,1
BDSU027,BDSU069,0,0,1
BDSU069,BDSU069,0,0,1
BDSU070,BDSU069,0,0,1
BDSU069,BDSU070,0,0,1
BDSU069,BDSU070,0,0,1
BDSU069,BDSU070,0,0,1
BDSU069,BDSU070,0,0,1
BDSU069,BDSU070,0,0,1
BDSU011,BDSU072,0,0,1
BDSU020,BDSU072,0,0,1
BDSU068,BDSU072,0,0,1
BDSU069,BDSU072,0,0,1
BDSU070,BDSU072,0,0,1
BDSU028,BDSU073,0,0,1
BDSU030,BDSU073,0,0,1
BDSU033,BDSU073,0,0,1
BDSU033,BDSU073,0,0,1
BDSU074,BDSU074,0,0,1
BDSU075,BDSU074,0,0,1
BDSU074,BDSU075,0,0,1
BDSU074,BDSU075,0,0,1
BDSU075,BDSU075,0,0,1
BDSU075,BDSU075,0,0,1
BDSU075,BDSU075,0,0,1
BDSU054,BDSU076,0,0,1
BDSU004,BDSU077,0,0,1
BDSU065,BDSU077,0,0,1
BDSU067,BDSU077,0,0,1
